ng_url,name,province
https://astrapa.nt-acs.net/station_92,สุราษฎร์ธานี (FM 90.00 MHz),สุราษฎร์ธานี
https://astrapa.nt-acs.net/station_93,สุราษฎร์ธานี (FM 95.50 MHz),สุราษฎร์ธานี
https://astrapa.nt-acs.net/station_94,สุราษฎร์ธานี-สมุย (FM 96.75 MHz),สุราษฎร์ธานี-สมุย
https://astrapa.nt-acs.net/station_95,กาญจนบุรี-สังขละบุรี (FM 94.25 MHz),กาญจนบุรี-สังขละบุรี
https://astrapa.nt-acs.net/station_96,สุพรรณบุรี (FM 102.25 MHz),สุพรรณบุรี
https://astrapa.nt-acs.net/station_97,สุโขทัย (FM 93.75 MHz) ,สุโขทัย
https://astrapa.nt-acs.net/station_98,สุรินทร์ (AM 909 MHz),สุรินทร์
https://astrapa.nt-acs.net/station_99,สุรินทร์ (FM 93.5 MHz),สุรินทร์
https://astrapa.nt-acs.net/station_100,สุรินทร์ (FM 97.5 MHz),สุรินทร์
https://astrapa.nt-acs.net/station_101,สุไหงโกลก นราธิวาส (FM 106.5 MHz),สุไหงโกลก
https://astrapa.nt-acs.net/station_102,หนองคาย (AM 810 KHz),หนองคาย
https://astrapa.nt-acs.net/station_103,หนองคาย (FM 90.5 MHz),หนองคาย
https://astrapa.nt-acs.net/station_104,หนองบัวลำภู (FM 97.25 MHz),หนองบัวลำภู
https://astrapa.nt-acs.net/station_105,อุตรดิตถ์ (FM อุตรดิตถ์ ),อุตรดิตถ์
https://astrapa.nt-acs.net/station_106,อุดรธานี (FM 93.75 MHz),อุดรธานี
https://astrapa.nt-acs.net/station_107,อุบลราชธานี (FM 98.5 MHz),อุบลราชธานี
https://astrapa.nt-acs.net/station_108,อุบลราชธานี (สวศ. อุบลราชธานี),อุบลราชธานี
https://astrapa.nt-acs.net/station_109,อำนาจเจริญ (FM 103.25 MHz),อำนาจเจริญ
